criterion,direction,new_weight,mean_suit,change_pct,abs_change
f01_globalstrahlung,+20%,0.3,0.7536,0.76,0.76
f01_globalstrahlung,-20%,0.2,0.7423,-0.76,0.76
f02_wintereinstrahlung,+20%,0.12,0.7471,-0.11,0.11
f02_wintereinstrahlung,-20%,0.08,0.7487,0.11,0.11
f03_hangneigung,+20%,0.144,0.7487,0.1,0.1
f03_hangneigung,-20%,0.096,0.7472,-0.1,0.1
f04_exposition,+20%,0.144,0.7481,0.02,0.02
f04_exposition,-20%,0.096,0.7478,-0.02,0.02
f05_hoehenlage,+20%,0.12,0.7504,0.34,0.34
f05_hoehenlage,-20%,0.08,0.7454,-0.34,0.34
f06_schneebedeckung,+20%,0.072,0.7478,-0.02,0.02
f06_schneebedeckung,-20%,0.048,0.7481,0.02,0.02
f07_grid_connection,+20%,0.096,0.748,0.01,0.01
f07_grid_connection,-20%,0.064,0.7479,-0.01,0.01
f08_roads,+20%,0.084,0.7477,-0.03,0.03
f08_roads,-20%,0.056,0.7481,0.03,0.03
f09_infrastructure,+20%,0.06,0.7471,-0.11,0.11
f09_infrastructure,-20%,0.04,0.7487,0.11,0.11
f10_sichtbarkeit,+20%,0.06,0.7421,-0.78,0.78
f10_sichtbarkeit,-20%,0.04,0.7537,0.78,0.78
